id,category_id,farm_name,location,phone,description,original_program
1,1,별빛푸른 쉼터,제주특별자치도 서귀포시 청정로 229,064-2386-2679,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","수제 맥주 양조 및 바비큐 파티"
2,1,황금초록 치유농장,경기도 포천시 퇴계로 96,031-3682-4811,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","수제 맥주 양조 및 바비큐 파티"
3,1,푸른은빛 힐링센터,경상남도 하동군 햇살로 430,055-3711-8359,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","수제 맥주 양조 및 바비큐 파티"
4,1,소나무구름 치유농장,충청남도 공주시 산림로 715,041-7024-6574,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","청년 리프레시 캠프"
5,1,자연소나무 체험마을,강원도 홍천군 평화로 95,033-6324-2584,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","청년 리프레시 캠프"
6,1,황금햇살 치유농장,전라남도 순천시 별빛로 550,061-2145-7201,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험"
7,1,햇살구름 산림치유원,경상북도 영주시 힐링로 592,054-3250-2139,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","스트레스 완화 명상 및 허브차 체험"
8,1,자연소나무 쉼터,제주특별자치도 제주시 평화로 876,064-3914-2654,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가"
9,1,하늘청정 체험마을,충청남도 공주시 산림로 380,041-5920-4432,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","청년 리프레시 캠프"
10,1,청정별빛 산림치유원,제주특별자치도 제주시 산림로 547,064-4110-3677,"[30대 맞춤] 치열한 경쟁과 직장 생활의 압박으로 지친 30대를 위한 공간입니다. 다이나믹한 액티비티와 몰입형 명상 프로그램을 통해 스트레스를 해소하고 새로운 활력을 충전할 수 있습니다.","자연 속 크로스핏 및 요가"
